,name,essround,edition,cntry,gndr,yrbrn,rlgblg,ctzcntr,edulvlb,edulvlfb,edulvlmb,imsmetn,impcntr,imbgeco,imueclt,imwbcnt,age,edu_lv,edu_lvf,edu_lvm,imsmetn_lv,impcntr_lv,imbgeco_lv,imueclt_lv,imwbcnt_lv,edu_overall,edu_difference,edu_mobility,attitude_lv,edu_lvp,attitude_b,region,edu_mobility_onehot,edu_up,edu_down
36999,ESS8e02_1,8,2.1,PL,0.0,2000,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C < 2 years, no access ISCED 5",Allow a few,Allow many to come and live here,3,Cultural life enriched,7,19.0,2.0,3.5,3.0,-1.0,2.0,-1.0,1.0,1.0,3.0,0.6666666666666666,-0.75,2.0,3.0,1,Eastern Europe,-1,0,1
37000,ESS8e02_1,8,2.1,PL,1.0,1980,0.0,Yes,"Vocational ISCED 3C < 2 years, no access ISCED 5","Vocational ISCED 3C < 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3",Allow many to come and live here,Don't know,6,Cultural life enriched,8,39.0,3.0,3.0,2.5,2.0,0.0,1.0,1.0,2.0,2.8333333333333335,0.3333333333333333,0.25,6.0,3.0,1,Eastern Europe,1,1,0
37001,ESS8e02_1,8,2.1,PL,0.0,1949,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,5,Don't know,Don't know,70.0,2.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,1.5,1.0,1.5,-2.0,1.0,0,Eastern Europe,1,1,0
37002,ESS8e02_1,8,2.1,PL,1.0,1965,1.0,Yes,ISCED 4 programmes without access ISCED 5,"ISCED 1, completed primary education","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow a few,3,5,5,54.0,4.0,1.0,2.5,-1.0,-1.0,-1.0,0.0,0.0,2.5,2.0,2.25,-3.0,2.0,0,Eastern Europe,1,1,0
37003,ESS8e02_1,8,2.1,PL,0.0,1952,1.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C < 2 years, no access ISCED 5","ISCED 1, completed primary education",Allow some,Allow some,7,5,Don't know,67.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.6666666666666665,3.0,3.0,2.0,1,Eastern Europe,1,1,0
37004,ESS8e02_1,8,2.1,PL,1.0,1968,1.0,Yes,"ISCED 5A long, master/equivalent from lower tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow some,8,2,5,51.0,7.0,2.5,2.5,-1.0,1.0,2.0,-2.0,0.0,4.0,3.0,4.5,0.0,2.0,0,Eastern Europe,1,1,0
37005,ESS8e02_1,8,2.1,PL,1.0,1965,1.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C < 2 years, no access ISCED 5",Allow a few,Allow some,8,5,5,54.0,5.0,5.0,3.0,-1.0,1.0,2.0,0.0,0.0,4.333333333333333,1.3333333333333333,1.0,2.0,4.0,1,Eastern Europe,1,1,0
37006,ESS8e02_1,8,2.1,PL,1.0,1951,1.0,Yes,"Vocational ISCED 3C < 2 years, no access ISCED 5","ISCED 1, completed primary education","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow a few,2,2,3,68.0,3.0,1.0,2.5,-1.0,-1.0,-2.0,-2.0,-1.0,2.1666666666666665,1.3333333333333333,1.25,-7.0,2.0,0,Eastern Europe,1,1,0
37007,ESS8e02_1,8,2.1,PL,1.0,1944,0.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow many to come and live here,Allow many to come and live here,8,Cultural life enriched,Better place to live,75.0,5.0,7.5,7.5,2.0,2.0,2.0,1.0,1.0,6.583333333333333,1.8333333333333333,-2.75,8.0,8.0,1,Eastern Europe,-1,0,1
37008,ESS8e02_1,8,2.1,PL,0.0,1998,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow many to come and live here,5,6,6,21.0,2.0,7.5,7.5,1.0,2.0,0.0,1.0,1.0,5.833333333333333,3.3333333333333335,-5.0,5.0,8.0,1,Eastern Europe,-1,0,1
